storeId,storeName,addressLine1,addressLine2,City,StateProvince,PostalCode,Country
1038-444,Bike Part Wholesalers,Am Euro Platz 3 (Ecke Wienerbergstrasse),, Vienna,  ,1120, Austria
1042-443,Popular Bike Lines,Leonardo Da Vincilaan 3,, Zaventem,  ,1930, Belgium
1058-441,Mass Market Bikes,110 9th Avenue SW, 8th Floor, Calgary, AB , T2P 0T1, Canada
1054-442,Eastside Cycle Shop,10155 102 St NW Suite 2100 Commerce Place,, Edmonton, AB , T5J 0E3, Canada
1314-410,Volume Bike Sellers,1950 Meadowvale Blvd.,, Mississauga, ON , L5N 8L9, Canada
1342-406,Global Sports Outlet,2000 McGill College Avenue, Suite 450, Montreal, QC , H3A 3J1, Canada
1354-407,Ideal Components,100 Queen Street, Suite 500, Ottawa, ON , K1P 1J9, Canada
1370-440,Liquidation Sales,222 Bay Street, Suite 1201, Toronto, ON , M5J, Canada
1366-439,Sensible Sports,1111 West Georgia Street, Suite 1100, Vancouver, BC , V6E 4S4, Canada
1452-434,Preferable Bikes,"2640 Boulevard Laurier,  Bureau 1500", 15e étage , Quebec City, QC , G1V 5C2, Canada
1464-433,List Price Catalog Company,360 Main Street, Suite 1150, Winnipeg, MB , R3C 3Z4, Canada
1818-438,Eastward Bike Accessories,"No. 999,  Zi Xing Road", Min Hang District, Shanghai , , , China
1854-425,Region Bike Company,2 Grand Gateway, No. 3rd Hong Qiao Road, Shanghai, , , China
1866-426,Gears and Parts Company,"No.5,  Danling Street", Haidian District, Beijing , ,100080, China      
1938-419,Cycle Parts and Accessories,Radlická 608/2,, Prague,  , 150 00, Czech Republic
1950-418,Helpful Sales and Repair Service ,Tuborg Boulevard 12,, Hellerup,  ,2900, Denmark
300-436,Nationwide Supply,Frydenlunds AllÃ© 6,, Vedbaek,  ,2950, Denmark
358-424,Quality Bike Sales,Akadeemia Tee 15B,, Tallinn,  ,12613, Estonia
350-435,Twin Cycles,Raekoja plats 9,, Tartu,  ,51004, Estonia
384-421,Seaside Bike Works,39 Quai du PrÃ©sident Roosevelt,, Issy-les-Moulineaux,  ,92130, France
408-420,Nearest Bike Store,1 Boulevard Vivier Merle,, Lyon,  ,69003, France
410-416,Fast Bike Works,11 Avenue des AmÃ©thystes,, Nantes,  ,44300, France
426-429,Cross-town Parts Shop,1 Rue Marie Curie â€“ BÃ¢t. M26,, Ramonville St. Agne,  ,31520, France
436-422,Second Bike Shop,5 Rue du Parc, BP 305, Oberhausbergen, ,67205, France
456-413,Uncompromising Quality Co,165  bld de Bretagne, Bat Lafont, Lille,,59000, France      
550-417,Helmets and Cycles,31 Parc du Golf - CS 90519,, Aix en Provence Cedex 3,  ,13593, France      
564-428,Unusual Bicycle Company,Konrad-Zuse-StraÃŸe 1,,Unterschleißheim,  ,85716, Germany
624-405,Budget Toy Store,Siemensstraße ,, Bad Homburg,  ,61352, Germany
666-437,Fitness Discount Store,Altrottstraße  31,, Walldorf,  ,69190, Germany
688-414,Plastic Products Manufacturers,Holzmarkt 2a,, Cologne,  ,50676, Germany
690-427,Kids and Adults Cycle Shop,Katharina-Heinroth-Ufer 1,, Berlin,  ,10787, Germany
676-415,Inexpensive Parts Shop,Gasstraße 6a/Gebäude M ,, Hamburg,  ,22761, Germany
718-411,First Supplies,13F Cyberport 2, 100 Cyberport Road, Hong Kong, ,  , Hong Kong
784-408,Online Bike Catalog,Gachibowli,, Hyderabad,  ,500032, India
796-409,Rich Department Store,Embassy Golf Links; Off Intermediate Inner Ring Road,, Bangalore,  ,560071, India
